2025-10-31 20:01:57 | INFO     | task_server_scene_annotation | The log system has been started, log file: /home/diy02/new_pipeline/robocoin-dataset/log/task_server_scene_annotation_2025-10-31_20-01-57.log
2025-10-31 20:02:03 | INFO     | task_server_scene_annotation | Task server started successfully: ws://0.0.0.0:8769
2025-10-31 20:02:04 | INFO     | task_server_scene_annotation | Client registered successfully | ID: scene_annotation_0 | IP: 172.16.19.253 | Current connections: 1
2025-10-31 20:02:04 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:06 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_0
2025-10-31 20:02:06 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_0
2025-10-31 20:02:06 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:07 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_1
2025-10-31 20:02:08 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_1
2025-10-31 20:02:08 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:09 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_2
2025-10-31 20:02:10 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_2
2025-10-31 20:02:10 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:11 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_3
2025-10-31 20:02:11 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_3
2025-10-31 20:02:12 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:13 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_4
2025-10-31 20:02:13 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_4
2025-10-31 20:02:14 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:15 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_5
2025-10-31 20:02:16 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_5
2025-10-31 20:02:17 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:18 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_6
2025-10-31 20:02:19 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_6
2025-10-31 20:02:20 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
2025-10-31 20:02:21 | INFO     | task_server_scene_annotation | Received task result | Client ID: scene_annotation_0 | Task ID: scene_annotation_7
2025-10-31 20:02:22 | INFO     | task_server_scene_annotation | ✅ Successfully handled task result for scene_annotation_7
2025-10-31 20:02:23 | INFO     | task_server_scene_annotation | Assigned task task_id to client scene_annotation_0
